date,time,sym,price,size
2018-07-01,09:32:30.773,GBPPLN,37.32508,7100
2018-07-01,09:32:45.074,USDPLN,39.72646,3800
2018-07-01,09:32:45.514,USDPLN,65.67262,81200
2018-07-01,09:32:45.935,USDEUR,6.309148,80200
2018-07-01,09:33:00.075,USDEUR,23.54031,25100
2018-07-01,09:33:00.228,EURPLN,27.35325,9800
2018-07-01,09:33:00.396,GBPPLN,88.51717,88300
2018-07-01,09:33:00.725,USDGBP,36.94803,92900
2018-07-01,09:33:00.849,USDEUR,99.547,80800
2018-07-01,09:33:00.868,USDGBP,23.97051,67400
2018-07-01,09:33:15.119,GBPPLN,25.42303,34700
2018-07-01,09:33:15.505,GBPPLN,19.77485,39700
2018-07-01,09:33:15.727,GBPPLN,11.81164,87800
2018-07-01,09:33:30.176,GBPPLN,26.98915,38500
2018-07-01,09:33:30.241,EURPLN,46.92818,99000
2018-07-01,09:33:30.442,USDGBP,56.93177,27000
2018-07-01,09:33:45.051,GBPPLN,25.61015,98000
2018-07-01,09:33:45.410,USDPLN,85.47853,69400
2018-07-01,09:33:45.583,GBPPLN,78.01546,20600
2018-07-01,09:33:45.843,EURPLN,64.25103,32500
2018-07-01,09:34:00.134,GBPPLN,10.39013,14800
2018-07-01,09:34:00.162,GBPPLN,49.74742,50100
2018-07-01,09:34:00.418,USDEUR,95.51424,74900
2018-07-01,09:34:00.610,USDPLN,47.84196,30600
2018-07-01,09:34:00.689,USDEUR,45.72453,31400
2018-07-01,09:34:00.983,USDEUR,21.52682,33300
2018-07-01,09:34:15.763,USDGBP,39.90292,8800
2018-07-01,09:34:15.822,EURPLN,88.83495,6300
2018-07-01,09:34:15.993,USDPLN,9.597096,8300
2018-07-01,09:34:30.367,GBPPLN,60.03241,1000
2018-07-01,09:34:30.608,GBPPLN,48.66123,24600
2018-07-01,09:34:45.211,USDGBP,54.70284,38500
2018-07-01,09:34:45.245,GBPPLN,32.71044,26100
2018-07-01,09:34:45.310,USDPLN,22.11902,50600
2018-07-01,09:34:45.424,USDGBP,84.34194,13000
2018-07-01,09:34:45.563,USDEUR,62.18651,35000
2018-07-01,09:35:00.212,USDEUR,92.56033,31700
2018-07-01,09:35:00.323,GBPPLN,74.77915,68600
2018-07-01,09:35:00.503,GBPPLN,64.77473,22900
2018-07-01,09:35:00.565,EURPLN,68.19431,12400
2018-07-01,09:35:00.589,GBPPLN,38.59713,5400
2018-07-01,09:35:00.937,USDEUR,85.25185,78500
2018-07-01,09:35:15.046,USDPLN,19.49778,53700
2018-07-01,09:35:15.091,EURPLN,97.14499,26400
2018-07-01,09:35:15.299,USDGBP,80.30366,89800
2018-07-01,09:35:15.301,USDGBP,73.39862,94700
2018-07-01,09:35:15.362,USDGBP,41.74278,21700
2018-07-01,09:35:15.612,USDEUR,64.50867,2500
2018-07-01,09:35:15.722,GBPPLN,15.91703,19500
2018-07-01,09:35:15.813,USDGBP,88.12264,73100
2018-07-01,09:35:15.852,EURPLN,95.92167,45000
2018-07-01,09:35:30.016,USDGBP,85.84715,99800
2018-07-01,09:35:30.337,EURPLN,5.838612,66800
2018-07-01,09:35:30.403,GBPPLN,66.67926,58800
2018-07-01,09:35:30.467,USDGBP,38.43848,15100
2018-07-01,09:35:30.567,EURPLN,96.19003,0
2018-07-01,09:35:30.608,EURPLN,5.217503,43500
2018-07-01,09:35:30.882,USDEUR,96.48557,80600
2018-07-01,09:35:30.991,USDPLN,13.99064,89500
2018-07-01,09:35:45.194,EURPLN,93.14512,8400
2018-07-01,09:35:45.232,USDPLN,59.18936,58200
2018-07-01,09:35:45.718,USDGBP,98.78471,39500
2018-07-01,09:35:45.854,EURPLN,42.84361,2900
2018-07-01,09:36:00.209,EURPLN,51.4503,67200
2018-07-01,09:36:00.219,USDGBP,10.32166,38800
2018-07-01,09:36:00.460,GBPPLN,64.21034,89300
2018-07-01,09:36:00.489,USDPLN,78.05337,71300
2018-07-01,09:36:00.599,USDEUR,82.73423,81600
2018-07-01,09:36:00.823,USDGBP,4.958062,60300
2018-07-01,09:36:00.864,USDPLN,77.1385,8400
2018-07-01,09:36:15.010,USDPLN,6.675352,93700
2018-07-01,09:36:15.339,USDGBP,5.267307,48200
2018-07-01,09:36:15.452,USDGBP,9.336682,47400
2018-07-01,09:36:15.457,EURPLN,98.14632,25700
2018-07-01,09:36:15.503,USDGBP,61.679,38600
2018-07-01,09:36:15.547,EURPLN,69.86079,75600
2018-07-01,09:36:15.912,USDEUR,34.25562,93800
2018-07-01,09:36:15.971,USDPLN,23.11444,9800
2018-07-01,09:36:30.129,USDEUR,33.77041,7100
2018-07-01,09:36:30.242,USDEUR,92.61224,94200
2018-07-01,09:36:30.365,USDPLN,6.776153,90200
2018-07-01,09:36:30.384,EURPLN,96.03144,75100
2018-07-01,09:36:30.461,USDEUR,54.93018,35900
2018-07-01,09:36:30.519,USDPLN,12.0841,53500
2018-07-01,09:36:30.834,USDEUR,93.71253,65100
2018-07-01,09:36:45.196,USDGBP,59.12114,45200
2018-07-01,09:36:45.530,USDPLN,87.01238,42100
2018-07-01,09:37:00.072,USDGBP,45.45444,44400
2018-07-01,09:37:00.420,USDGBP,32.91788,64200
2018-07-01,09:37:00.816,USDEUR,87.00816,29800
2018-07-01,09:37:00.871,GBPPLN,44.08376,73200
2018-07-01,09:37:00.996,GBPPLN,32.05795,45200
2018-07-01,09:37:15.724,USDEUR,85.27972,94900
2018-07-01,09:37:15.768,USDPLN,44.31664,19500
2018-07-01,09:37:30.498,USDEUR,31.52795,17900
2018-07-01,09:37:30.904,USDGBP,45.03008,27800
2018-07-01,09:37:45.162,USDGBP,98.16297,43000
2018-07-01,09:37:45.261,USDGBP,38.31319,70300
2018-07-01,09:37:45.611,EURPLN,84.87743,76300
2018-07-01,09:38:00.325,USDPLN,65.09208,80000
2018-07-01,09:38:00.459,USDGBP,67.80701,93100
2018-07-01,09:38:00.496,EURPLN,29.95997,12000
2018-07-01,09:38:00.805,USDEUR,72.66995,34900
2018-07-01,09:38:15.027,USDGBP,28.06706,25000
2018-07-01,09:38:15.408,EURPLN,4.180235,40000
2018-07-01,09:38:15.428,USDEUR,82.47865,45400
2018-07-01,09:38:15.679,USDGBP,30.31832,31200
2018-07-01,09:38:30.276,USDGBP,5.22382,55100
2018-07-01,09:38:30.430,USDGBP,95.53909,77400
2018-07-01,09:38:30.463,EURPLN,38.09777,37200
2018-07-01,09:38:30.567,USDEUR,10.92586,89700
2018-07-01,09:38:30.606,EURPLN,58.37515,7300
2018-07-01,09:38:30.998,GBPPLN,14.59251,63900
2018-07-01,09:38:45.050,USDPLN,94.12745,41500
2018-07-01,09:38:45.119,USDGBP,95.48567,18300
2018-07-01,09:38:45.210,GBPPLN,60.96267,61100
2018-07-01,09:38:45.456,EURPLN,84.43848,76700
2018-07-01,09:38:45.706,USDGBP,66.0061,44500
2018-07-01,09:39:00.339,USDEUR,8.022066,87700
2018-07-01,09:39:00.470,EURPLN,95.01785,37400
2018-07-01,09:39:00.645,USDGBP,5.031498,41900
2018-07-01,09:39:15.032,USDEUR,1.929726,87900
2018-07-01,09:39:15.085,USDPLN,12.74531,12000
2018-07-01,09:39:15.457,EURPLN,64.56347,43200
2018-07-01,09:39:15.536,USDPLN,66.25846,24500
2018-07-01,09:39:15.600,USDGBP,61.16797,75900
2018-07-01,09:39:15.624,EURPLN,56.0384,55300
2018-07-01,09:39:30.281,USDGBP,20.22341,96200
2018-07-01,09:39:30.359,USDEUR,53.59291,31400
2018-07-01,09:39:30.481,EURPLN,69.02519,49900
2018-07-01,09:39:30.793,USDEUR,49.95695,44900
2018-07-01,09:39:30.869,USDEUR,58.0161,47800
2018-07-01,09:39:45.305,GBPPLN,91.2693,15700
2018-07-01,09:39:45.624,EURPLN,60.64793,2200
2018-07-01,09:39:45.832,USDPLN,43.91172,15600
2018-07-01,09:40:00.894,USDPLN,20.05334,88800
2018-07-01,09:40:15.367,GBPPLN,57.63742,63800
2018-07-01,09:40:15.787,USDPLN,15.85228,21000
2018-07-01,09:40:15.864,USDEUR,33.63292,93800
2018-07-01,09:40:15.879,GBPPLN,75.1581,70100
2018-07-01,09:40:15.911,EURPLN,22.79168,77500
2018-07-01,09:40:30.352,GBPPLN,70.51377,32900
2018-07-01,09:40:30.371,USDGBP,11.28081,98800
2018-07-01,09:40:30.376,USDGBP,15.59746,73400
2018-07-01,09:40:30.612,USDPLN,54.8813,95900
2018-07-01,09:40:30.684,USDPLN,57.49854,8100
2018-07-01,09:40:45.279,USDEUR,77.54722,90600
2018-07-01,09:40:45.328,USDEUR,10.59684,3300
2018-07-01,09:40:45.345,USDPLN,8.079904,62300
2018-07-01,09:40:45.490,GBPPLN,86.24106,81400
2018-07-01,09:40:45.699,EURPLN,71.10365,99500
2018-07-01,09:40:45.744,GBPPLN,92.27241,90800
2018-07-01,09:40:45.837,USDEUR,84.94157,33100
2018-07-01,09:40:45.842,USDPLN,51.93357,85100
2018-07-01,09:40:45.844,EURPLN,15.20578,60500
2018-07-01,09:41:00.591,USDEUR,10.46936,97500
2018-07-01,09:41:00.662,EURPLN,52.16722,95700
2018-07-01,09:41:15.136,USDEUR,37.78525,51800
2018-07-01,09:41:15.253,EURPLN,71.74089,74100
2018-07-01,09:41:15.302,GBPPLN,48.83855,91800
2018-07-01,09:41:15.509,USDGBP,16.06135,29900
2018-07-01,09:41:30.427,USDEUR,85.42223,62800
2018-07-01,09:41:30.912,USDEUR,9.077363,87900
2018-07-01,09:41:30.968,EURPLN,96.45701,59500
2018-07-01,09:41:45.219,USDPLN,58.94117,41400
2018-07-01,09:41:45.417,EURPLN,82.96815,54200
2018-07-01,09:41:45.514,GBPPLN,35.67159,87500
2018-07-01,09:41:45.606,USDEUR,47.3491,83800
2018-07-01,09:41:45.725,GBPPLN,76.32697,54200
2018-07-01,09:41:45.808,EURPLN,22.68818,58400
2018-07-01,09:41:45.898,USDPLN,42.0207,45600
2018-07-01,09:41:45.910,USDGBP,7.160885,48300
2018-07-01,09:42:00.083,GBPPLN,75.55112,14100
2018-07-01,09:42:00.120,USDPLN,57.65331,57600
2018-07-01,09:42:00.350,GBPPLN,79.26079,5400
2018-07-01,09:42:00.606,EURPLN,57.76676,86600
2018-07-01,09:42:00.617,USDEUR,48.94614,32100
2018-07-01,09:42:00.637,EURPLN,9.493297,73600
2018-07-01,09:42:15.159,EURPLN,75.15272,10000
2018-07-01,09:42:15.251,GBPPLN,87.71423,88000
2018-07-01,09:42:15.397,GBPPLN,89.47157,50600
2018-07-01,09:42:30.112,USDPLN,91.91273,28600
2018-07-01,09:42:30.167,USDPLN,41.73931,47900
2018-07-01,09:42:30.503,USDEUR,93.05602,87700
2018-07-01,09:42:30.661,EURPLN,45.31421,68300
2018-07-01,09:42:30.808,USDPLN,40.43253,1200
2018-07-01,09:42:30.911,USDGBP,43.33055,31300
2018-07-01,09:42:45.339,USDEUR,36.07704,40400
2018-07-01,09:42:45.474,GBPPLN,66.60119,38400
2018-07-01,09:42:45.485,GBPPLN,40.30468,4000
2018-07-01,09:42:45.819,USDPLN,72.49485,14600
2018-07-01,09:42:45.856,EURPLN,29.59026,94600
2018-07-01,09:43:00.432,USDEUR,39.50158,7600
2018-07-01,09:43:00.503,EURPLN,62.26979,42000
2018-07-01,09:43:00.532,EURPLN,10.4583,59100
2018-07-01,09:43:00.942,GBPPLN,21.86717,85400
2018-07-01,09:43:00.956,USDPLN,47.08143,53800
2018-07-01,09:43:15.637,USDPLN,66.88806,18100
2018-07-01,09:43:15.848,USDGBP,51.08375,300
2018-07-01,09:43:15.929,GBPPLN,98.98457,81500
2018-07-01,09:43:15.931,USDPLN,89.38708,21700
2018-07-01,09:43:30.016,USDPLN,50.64525,84100
2018-07-01,09:43:30.266,USDEUR,4.164024,24400
2018-07-01,09:43:30.331,GBPPLN,60.01849,37400
2018-07-01,09:43:30.407,USDGBP,20.79605,44600
2018-07-01,09:43:30.458,USDPLN,88.5268,23100
2018-07-01,09:43:30.798,USDGBP,70.76604,46700
2018-07-01,09:43:30.865,USDGBP,83.91115,49500
2018-07-01,09:43:45.045,USDGBP,5.354746,44700
2018-07-01,09:43:45.136,GBPPLN,40.9831,72000
2018-07-01,09:43:45.497,USDPLN,0.6967109,37800
2018-07-01,09:43:45.785,USDEUR,80.1412,30900
2018-07-01,09:43:45.789,USDEUR,87.20617,24700
2018-07-01,09:44:00.183,EURPLN,71.54375,13900
2018-07-01,09:44:00.502,USDPLN,74.18857,11300
2018-07-01,09:44:00.544,EURPLN,42.88047,47300
2018-07-01,09:44:00.600,EURPLN,87.78807,95000
2018-07-01,09:44:00.674,EURPLN,70.51858,8500
2018-07-01,09:44:00.685,USDGBP,79.47627,62800
2018-07-01,09:44:00.780,USDGBP,33.38445,16500
2018-07-01,09:44:15.018,GBPPLN,21.54671,48000
2018-07-01,09:44:15.204,USDPLN,14.31852,12900
2018-07-01,09:44:15.449,USDPLN,30.3525,93700
2018-07-01,09:44:15.636,USDPLN,23.12562,98400
2018-07-01,09:44:15.672,USDGBP,17.54041,85300
2018-07-01,09:44:15.684,EURPLN,76.63297,55900
2018-07-01,09:44:15.831,USDGBP,34.24453,89600
2018-07-01,09:44:30.054,GBPPLN,49.8809,32200
2018-07-01,09:44:30.114,USDPLN,90.20882,18100
2018-07-01,09:44:30.231,USDPLN,86.56347,99500
2018-07-01,09:44:30.272,USDEUR,62.55836,14900
2018-07-01,09:44:30.361,EURPLN,35.65926,91900
2018-07-01,09:44:30.691,USDPLN,87.61369,37700
2018-07-01,09:44:30.827,USDPLN,97.87619,30400
2018-07-01,09:44:30.944,USDEUR,41.238,68300
2018-07-01,09:44:30.965,EURPLN,52.41673,43200
2018-07-01,09:44:45.092,USDPLN,93.25021,25700
2018-07-01,09:44:45.387,USDPLN,23.2099,69000
2018-07-01,09:44:45.452,EURPLN,90.30108,95500
2018-07-01,09:44:45.571,USDGBP,65.86066,11600
2018-07-01,09:44:45.761,USDPLN,29.35083,29800
2018-07-01,09:45:00.148,USDGBP,87.52504,69600
2018-07-01,09:45:00.156,USDGBP,12.58283,36200
2018-07-01,09:45:00.310,USDGBP,47.16242,2800
2018-07-01,09:45:00.390,GBPPLN,6.274835,58400
2018-07-01,09:45:00.482,EURPLN,52.75068,26200
2018-07-01,09:45:00.490,USDEUR,8.446362,33400
2018-07-01,09:45:00.519,EURPLN,10.66707,96400
2018-07-01,09:45:00.916,USDGBP,95.97638,45400
2018-07-01,09:45:15.002,EURPLN,62.39712,51100
2018-07-01,09:45:15.133,EURPLN,6.820796,71300
2018-07-01,09:45:15.377,USDGBP,50.43038,63300
2018-07-01,09:45:15.579,USDPLN,49.37905,79100
2018-07-01,09:45:15.678,GBPPLN,7.653304,99400
2018-07-01,09:45:30.016,USDEUR,99.80669,84700
2018-07-01,09:45:30.459,USDPLN,43.81425,35600
2018-07-01,09:45:30.860,USDPLN,42.83827,88600
2018-07-01,09:45:30.898,EURPLN,27.80001,11700
2018-07-01,09:45:30.970,EURPLN,31.89468,2500
2018-07-01,09:45:45.031,GBPPLN,89.87961,64400
2018-07-01,09:45:45.041,EURPLN,67.66741,76000
2018-07-01,09:45:45.273,EURPLN,43.31861,65100
2018-07-01,09:45:45.697,EURPLN,71.25147,32500
2018-07-01,09:45:45.875,USDPLN,55.68116,13900
2018-07-01,09:46:00.147,USDGBP,97.87545,53000
2018-07-01,09:46:00.300,EURPLN,26.37523,32700
2018-07-01,09:46:00.557,USDEUR,40.73885,63500
2018-07-01,09:46:00.981,USDGBP,38.12515,89300
2018-07-01,09:46:15.306,USDGBP,64.08817,72300
2018-07-01,09:46:15.433,USDGBP,35.95681,52200
2018-07-01,09:46:15.786,USDPLN,45.32534,56900
2018-07-01,09:46:15.860,EURPLN,49.27526,76100
2018-07-01,09:46:30.036,EURPLN,10.77601,76400
2018-07-01,09:46:45.144,EURPLN,99.23161,22300
2018-07-01,09:46:45.224,USDPLN,74.58698,38800
2018-07-01,09:46:45.492,USDGBP,11.0707,48800
2018-07-01,09:46:45.654,GBPPLN,16.15329,41600
2018-07-01,09:46:45.690,GBPPLN,92.61684,85000
2018-07-01,09:46:45.732,USDEUR,80.72385,85300
2018-07-01,09:46:45.857,USDPLN,75.66033,57000
2018-07-01,09:47:00.054,USDEUR,22.92042,40300
2018-07-01,09:47:00.110,USDGBP,62.95561,63800
2018-07-01,09:47:00.193,EURPLN,75.44131,7000
2018-07-01,09:47:00.286,USDPLN,12.03826,39700
2018-07-01,09:47:00.953,EURPLN,39.88911,87400
2018-07-01,09:47:15.015,GBPPLN,0.6567811,17500
2018-07-01,09:47:15.042,GBPPLN,9.123012,94500
2018-07-01,09:47:15.318,EURPLN,83.29944,36900
2018-07-01,09:47:15.656,USDEUR,44.73952,25700
2018-07-01,09:47:15.670,USDPLN,40.78664,60700
2018-07-01,09:47:15.993,GBPPLN,68.37772,49200
2018-07-01,09:47:30.058,USDPLN,20.52272,53500
2018-07-01,09:47:30.147,EURPLN,81.95186,38400
2018-07-01,09:47:30.303,USDEUR,64.90353,83500
2018-07-01,09:47:30.537,USDGBP,65.03654,54400
2018-07-01,09:47:30.784,GBPPLN,15.97563,16600
2018-07-01,09:47:30.890,EURPLN,53.53772,25100
2018-07-01,09:47:30.926,USDGBP,0.131843,85900
2018-07-01,09:47:45.254,USDPLN,1.328132,66300
2018-07-01,09:47:45.311,USDGBP,92.62331,54000
2018-07-01,09:47:45.327,USDPLN,25.40076,16300
2018-07-01,09:47:45.777,USDEUR,60.7086,46600
2018-07-01,09:48:00.116,EURPLN,87.29906,91300
2018-07-01,09:48:00.352,GBPPLN,89.44826,62500
2018-07-01,09:48:00.927,USDEUR,24.13199,88600
2018-07-01,09:48:00.939,GBPPLN,77.00813,51200
2018-07-01,09:48:15.411,EURPLN,67.93468,76100
2018-07-01,09:48:15.478,GBPPLN,91.04204,29900
2018-07-01,09:48:15.820,GBPPLN,54.81941,12900
2018-07-01,09:48:15.877,USDEUR,44.24211,19400
2018-07-01,09:48:30.001,EURPLN,48.75961,97900
2018-07-01,09:48:30.013,GBPPLN,91.29443,29400
2018-07-01,09:48:30.139,USDGBP,7.062297,41500
2018-07-01,09:48:30.235,USDGBP,62.30185,74200
2018-07-01,09:48:30.436,USDPLN,57.38847,48200
2018-07-01,09:48:30.705,EURPLN,96.52872,80300
2018-07-01,09:48:45.072,USDEUR,54.2842,82600
2018-07-01,09:48:45.175,USDPLN,48.54579,76500
2018-07-01,09:48:45.178,USDPLN,29.43458,43400
2018-07-01,09:48:45.340,USDGBP,17.66548,38100
2018-07-01,09:48:45.762,USDPLN,58.63636,8300
2018-07-01,09:48:45.887,USDEUR,66.47295,64100
2018-07-01,09:49:00.471,EURPLN,44.97938,84800
2018-07-01,09:49:00.506,USDGBP,24.29163,29100
2018-07-01,09:49:15.182,USDGBP,42.68377,56300
2018-07-01,09:49:15.630,USDGBP,66.15555,77800
2018-07-01,09:49:15.874,USDEUR,14.27672,40100
2018-07-01,09:49:30.178,EURPLN,17.18151,30200
2018-07-01,09:49:30.269,GBPPLN,88.12996,5300
2018-07-01,09:49:30.294,GBPPLN,83.11277,75300
2018-07-01,09:49:30.416,USDPLN,44.82047,72900
2018-07-01,09:49:30.738,EURPLN,82.11975,37300
2018-07-01,09:49:30.955,GBPPLN,42.66587,37900
2018-07-01,09:49:45.087,USDPLN,44.79345,39800
2018-07-01,09:49:45.197,GBPPLN,6.885404,61400
2018-07-01,09:49:45.353,USDPLN,71.52187,8000
2018-07-01,09:49:45.435,EURPLN,22.63308,20100
2018-07-01,09:50:00.056,USDEUR,39.11053,36800
2018-07-01,09:50:00.123,USDGBP,93.3273,87200
2018-07-01,09:50:00.192,EURPLN,86.06023,86200
2018-07-01,09:50:00.344,EURPLN,36.46288,9400
2018-07-01,09:50:00.915,EURPLN,86.60104,24900
2018-07-01,09:50:15.240,EURPLN,62.65712,87100
2018-07-01,09:50:15.294,USDGBP,30.40524,16300
2018-07-01,09:50:15.486,USDGBP,24.50406,75300
2018-07-01,09:50:30.178,GBPPLN,53.74298,45500
2018-07-01,09:50:30.576,USDGBP,86.79292,19000
2018-07-01,09:50:30.826,USDGBP,59.1349,2700
2018-07-01,09:50:30.986,USDGBP,38.56372,14100
2018-07-01,09:50:45.058,USDPLN,27.12686,95100
2018-07-01,09:50:45.252,EURPLN,56.00233,49600
2018-07-01,09:50:45.260,EURPLN,38.86544,42300
2018-07-01,09:50:45.640,GBPPLN,93.93595,3900
2018-07-01,09:50:45.775,USDGBP,40.57148,64500
2018-07-01,09:51:00.188,EURPLN,34.2213,60200
2018-07-01,09:51:00.253,USDPLN,30.47277,49400
2018-07-01,09:51:00.549,EURPLN,40.61207,21100
2018-07-01,09:51:00.652,USDEUR,4.56218,2400
2018-07-01,09:51:00.658,USDGBP,81.82787,38700
2018-07-01,09:51:00.898,GBPPLN,82.92075,86900
2018-07-01,09:51:15.064,EURPLN,84.61916,65900
2018-07-01,09:51:15.106,EURPLN,22.11615,28700
2018-07-01,09:51:15.236,EURPLN,7.096642,2400
2018-07-01,09:51:15.274,USDGBP,50.10547,34900
2018-07-01,09:51:15.344,USDEUR,50.34961,37400
2018-07-01,09:51:15.504,EURPLN,46.65954,28100
2018-07-01,09:51:15.562,GBPPLN,98.69827,29300
2018-07-01,09:51:15.627,USDEUR,65.21473,57400
2018-07-01,09:51:15.795,GBPPLN,95.89677,67000
2018-07-01,09:51:15.873,GBPPLN,49.90419,90800
2018-07-01,09:51:30.039,USDEUR,52.42233,95300
2018-07-01,09:51:30.133,GBPPLN,85.55468,96300
2018-07-01,09:51:30.246,GBPPLN,61.08672,30500
2018-07-01,09:51:30.738,EURPLN,67.16672,27700
2018-07-01,09:51:30.904,GBPPLN,11.79922,85800
2018-07-01,09:51:45.428,USDEUR,9.974063,30600
2018-07-01,09:51:45.916,GBPPLN,7.260131,85200
2018-07-01,09:52:00.236,GBPPLN,80.28797,77300
2018-07-01,09:52:00.243,USDPLN,71.16428,31100
2018-07-01,09:52:00.323,EURPLN,95.67056,40000
2018-07-01,09:52:00.431,USDGBP,54.01204,64700
2018-07-01,09:52:00.454,USDGBP,80.18826,16700
2018-07-01,09:52:00.506,EURPLN,87.9889,70400
2018-07-01,09:52:00.661,GBPPLN,1.333804,83200
2018-07-01,09:52:15.082,GBPPLN,75.80222,4100
2018-07-01,09:52:15.177,USDGBP,62.21858,71600
2018-07-01,09:52:30.010,EURPLN,41.64907,29100
2018-07-01,09:52:30.089,GBPPLN,88.07349,59600
2018-07-01,09:52:30.737,USDPLN,70.68342,1700
2018-07-01,09:52:45.287,EURPLN,29.75202,23000
2018-07-01,09:52:45.743,USDPLN,36.21914,84800
2018-07-01,09:52:45.790,USDPLN,62.56543,56300
2018-07-01,09:52:45.798,USDEUR,34.99236,3600
2018-07-01,09:53:00.111,USDPLN,28.94917,35500
2018-07-01,09:53:00.343,EURPLN,97.76463,71300
2018-07-01,09:53:00.432,GBPPLN,1.608531,66400
2018-07-01,09:53:00.643,GBPPLN,25.67687,71900
2018-07-01,09:53:00.663,USDGBP,18.20207,30000
2018-07-01,09:53:00.690,USDPLN,54.22335,54400
2018-07-01,09:53:00.940,USDPLN,51.76733,16800
2018-07-01,09:53:15.225,GBPPLN,81.17978,99800
2018-07-01,09:53:15.367,GBPPLN,12.90285,26800
2018-07-01,09:53:15.630,EURPLN,7.63053,74400
2018-07-01,09:53:15.691,USDEUR,3.425708,55200
2018-07-01,09:53:15.698,USDEUR,28.59477,6400
2018-07-01,09:53:15.735,USDEUR,76.10913,74700
2018-07-01,09:53:30.334,USDGBP,95.31152,13000
2018-07-01,09:53:30.640,USDPLN,16.31801,43700
2018-07-01,09:53:30.745,USDGBP,29.72515,2400
2018-07-01,09:53:30.774,GBPPLN,6.374755,37900
2018-07-01,09:53:30.850,USDPLN,89.62975,45000
2018-07-01,09:53:30.928,USDPLN,71.37053,44000
2018-07-01,09:53:30.978,USDEUR,41.33176,65200
2018-07-01,09:53:45.020,USDGBP,10.88636,34300
2018-07-01,09:53:45.104,USDPLN,24.4463,99600
2018-07-01,09:53:45.322,GBPPLN,32.03108,79500
2018-07-01,09:53:45.510,USDEUR,82.95523,46200
2018-07-01,09:53:45.751,USDEUR,37.22477,59200
2018-07-01,09:53:45.961,GBPPLN,38.12121,17800
2018-07-01,09:54:00.034,USDPLN,33.59516,16700
2018-07-01,09:54:00.145,EURPLN,55.98608,56600
2018-07-01,09:54:00.194,GBPPLN,78.23533,46500
2018-07-01,09:54:00.195,USDPLN,70.13636,36300
2018-07-01,09:54:00.470,USDGBP,53.80628,16600
2018-07-01,09:54:00.797,USDEUR,82.46367,96300
2018-07-01,09:54:00.889,USDGBP,52.48887,86300
2018-07-01,09:54:15.050,USDPLN,62.15705,81800
2018-07-01,09:54:15.225,USDEUR,84.71379,37500
2018-07-01,09:54:15.909,USDPLN,22.92361,68400
2018-07-01,09:54:30.848,USDGBP,38.40056,24400
2018-07-01,09:54:30.910,GBPPLN,79.46387,29100
2018-07-01,09:54:30.910,USDGBP,34.42014,98100
2018-07-01,09:54:45.109,USDPLN,24.75884,24200
2018-07-01,09:54:45.195,USDGBP,80.64146,53600
